ID_Prodotto,Prezzo,Quantita,Ricavo
1,392.58155679111456,33,12955.19137410678
2,188.55826779290592,41,7730.888979509143
3,403.4163267829035,50,20170.816339145174
4,30.115305471109618,41,1234.7275243154943
5,412.70544232977227,37,15270.101366201574
6,423.23112425867276,25,10580.77810646682
7,289.5249166188278,34,9843.847165040144
8,278.90297168870825,15,4183.544575330624
9,200.950680028125,34,6832.32312095625
10,439.08237153639817,41,18002.377232992327
11,82.75484056524098,6,496.5290433914459
12,358.7683750166405,6,2152.610250099843
13,195.94691200373987,26,5094.6197120972365
14,343.35246483758385,42,14420.803523178522
15,41.722442296729795,27,1126.5059420117045
16,462.17349509279677,26,12016.510872412717
17,65.12941365391781,17,1107.2000321166026
18,255.23653914104685,1,255.23653914104685
19,246.34240419818542,31,7636.614530143748
20,342.37908343862597,15,5135.686251579389
21,441.7175404229175,50,22085.877021145876
22,50.68509193141521,40,2027.4036772566083
23,193.03358190728056,49,9458.645513456748
24,24.309082551515765,45,1093.9087148182093
25,384.3251568048365,37,14220.030801778952
26,205.81613539937646,6,1234.8968123962588
27,65.31283775919707,1,65.31283775919707
28,45.654269485476405,30,1369.628084564292
29,268.26359466455705,35,9389.225813259496
30,70.86435745562116,27,1913.3376513017713
31,484.04648726235797,7,3388.325410836506
32,438.5969271068818,9,3947.372343961936
33,484.9978651340596,1,484.9978651340596
34,328.03028644921557,17,5576.514869636665
35,166.14962479951836,11,1827.645872794702
36,445.2452264643799,46,20481.280417361475
37,305.0139215742969,49,14945.682157140547
38,100.5769347190969,48,4827.692866516651
39,95.16736444659169,41,3901.861942310259
40,472.18245691651094,45,21248.21056124299
41,376.61255135143733,27,10168.538886488808
42,186.7478650879577,7,1307.235055615704
43,325.20489178773255,11,3577.253809665058
44,438.84279919033213,28,12287.5983773293
45,402.2359435249602,20,8044.718870499204
46,249.55741074306346,47,11729.198304923983
47,70.85964849326251,42,2976.1052367170255
48,260.0730078869873,4,1040.2920315479491
49,271.704231443474,49,13313.507340730226
50,244.11170290707813,20,4882.234058141563
51,434.3769615503762,31,13465.685808061662
52,47.58200608823697,4,190.3280243529479
53,385.92597046431274,27,10420.001202536445
54,264.55412263557355,17,4497.42008480475
55,134.38624969121,32,4300.35999011872
56,43.629690972987596,3,130.8890729189628
57,198.26105515104393,34,6740.8758751354935
58,425.40270179540437,10,4254.027017954044
59,185.08810732960617,41,7588.612400513854
60,302.61437224776614,2,605.2287444955323
61,10.015705879102729,7,70.1099411537191
62,421.69703964633345,9,3795.273356817001
63,370.5621225133571,14,5187.869715186999
64,326.4334276042551,3,979.3002828127653
65,135.75218578702817,18,2443.539344166507
66,95.12054493125932,42,3995.0628871128915
67,263.36436440472926,48,12641.489491427004
68,159.76471792398706,12,1917.1766150878448
69,147.89246143623237,1,147.89246143623237
70,125.2938842835904,19,2380.5838013882176
71,414.5317917381457,8,3316.254333905166
72,387.97326141833196,2,775.9465228366639
73,117.55438962525335,15,1763.3158443788002
74,96.28082820807344,16,1540.493251329175
75,411.33779348477947,15,6170.066902271692
76,239.4203717939736,2,478.8407435879472
77,379.29709118016626,32,12137.50691776532
78,71.11797638565653,18,1280.1235749418177
79,431.7562124727236,14,6044.58697461813
80,82.98161057778167,1,82.98161057778167
81,207.55420535122312,49,10170.156062209933
82,288.43254582796897,11,3172.7580041076585
83,339.3982519288568,43,14594.12483294084
84,373.6028582166062,37,13823.30575401443
85,406.1155728614725,48,19493.54749735068
86,133.3506046581607,23,3067.0639071376963
87,310.22246049464053,18,5584.004288903529
88,24.563335577152323,16,393.01336923443716
89,252.54015546692528,37,9343.985752276236
90,493.92078650214904,36,17781.148314077367
91,29.95342989293466,49,1467.7180647537984
92,386.4235002131521,50,19321.175010657607
93,282.3153458414148,14,3952.414841779807
94,197.20330345172923,44,8676.945351876086
95,81.83329558168631,31,2536.8321630322757
96,199.1670679423084,46,9161.685125346186
97,308.0322689229456,12,3696.3872270753473
98,331.30804320950256,50,16565.40216047513
99,36.25034678559298,20,725.0069357118596
100,260.0258632472813,37,9620.956940149408
101,131.89253466813585,27,3561.098436039668
102,476.49802858602214,17,8100.466485962376
103,371.9424455745697,1,371.9424455745697
104,373.751231697653,34,12707.541877720201
105,417.62731154879316,13,5429.155050134311
106,109.53133599197726,49,5367.035463606886
107,392.95229191123155,32,12574.47334115941
108,391.7136023168412,16,6267.4176370694595
109,122.41100870888164,50,6120.550435444082
110,395.1115041579563,28,11063.122116422775
111,260.33163236832524,29,7549.617338681432
112,299.59408458585625,48,14380.5160601211
113,360.5672457125489,8,2884.5379657003914
114,492.1768284908718,28,13780.95119774441
115,125.39069305330658,25,3134.7673263326647
116,342.5148174202586,16,5480.237078724138
117,484.21469193688847,35,16947.514217791097
118,211.39670832057803,38,8033.074916181965
119,223.69534388868132,29,6487.164972771759
120,10.449431951537443,47,491.12330172225984
121,492.04575654502975,6,2952.2745392701786
122,188.02644657297623,7,1316.1851260108335
123,446.6708297105445,32,14293.466550737425
124,89.59776400171847,35,3135.9217400601465
125,80.81440401843162,25,2020.3601004607904
126,458.36265380583245,10,4583.6265380583245
127,101.4903726701255,45,4567.066770155648
128,197.78600798796137,16,3164.576127807382
129,311.40114388270473,9,2802.6102949443425
130,318.28621691283695,43,13686.307327251989
131,22.692795709768532,18,408.47032277583355
132,26.48024034621314,15,397.2036051931971
133,488.40566757234893,44,21489.84937318335
134,57.91925602112625,39,2258.8509848239237
135,257.90691307696886,9,2321.16221769272
136,369.968715574203,20,7399.37431148406
137,239.29387286341512,46,11007.518151717095
138,395.447192394122,20,7908.9438478824395
139,143.59012673454788,3,430.77038020364364
140,79.85436008873411,44,3513.5918439043007
141,451.7348188962852,29,13100.30974799227
142,311.56041659243215,25,7789.010414810804
143,454.27060439931336,22,9993.953296784894
144,225.08641812161824,27,6077.3332892836925
145,112.21649004321797,20,2244.3298008643596
146,441.043455837137,21,9261.912572579877
147,431.01888709008665,26,11206.491064342254
148,431.41132838466706,20,8628.226567693342
149,312.2581652194522,39,12178.068443558637
150,238.39395932789853,25,5959.848983197463
151,41.984722010790804,6,251.90833206474483
152,108.56724345023312,49,5319.794929061423
153,417.7559564820101,7,2924.2916953740705
154,59.143767582847055,38,2247.4631681481883
155,347.54562015900973,45,15639.552907155437
156,228.27912516591175,15,3424.186877488676
157,192.62132144098786,36,6934.367571875563
158,120.10716695035644,37,4443.965177163189
159,205.4637787930481,15,3081.9566818957214
160,151.968534517654,18,2735.433621317772
161,220.7991723521062,28,6182.3768258589735
162,416.9175330654899,21,8755.268194375289
163,192.9124725899437,13,2507.862143669268
164,419.12758830913623,8,3353.02070647309
165,479.6285351944272,37,17746.255802193806
166,116.98586493536756,42,4913.406327285437
167,486.91603590691767,24,11685.984861766025
168,153.9976643465674,21,3233.9509512779155
169,243.8532841488201,22,5364.772251274042
170,146.90733657324913,31,4554.127433770723
171,435.98264131485195,20,8719.652826297039
172,315.35216578051484,27,8514.508476073901
173,458.2418025366823,22,10081.31965580701
174,369.2160792946598,47,17353.15572684901
175,390.75861986164506,40,15630.344794465802
176,371.610930507598,45,16722.49187284191
177,304.02045895445445,43,13072.87973504154
178,149.17001884603263,7,1044.1901319222284
179,172.65655993273768,39,6733.605837376769
180,386.34534606302134,43,16612.849880709917
181,162.09370735949486,26,4214.436391346866
182,144.3891831528629,10,1443.891831528629
183,368.44826135292544,15,5526.723920293882
184,123.13864639680713,48,5910.655027046742
185,214.70693780975608,19,4079.4318183853657
186,45.32036397529303,21,951.7276434811536
187,192.3326102720089,34,6539.308749248303
188,391.6905204405521,46,18017.7639402654
189,395.51688459530897,3,1186.550653785927
190,297.1261174223604,32,9508.035757515532
191,56.1602444751477,49,2751.851979282237
192,158.51474822754713,36,5706.530936191697
193,231.65886433663343,43,9961.331166475238
194,477.30540912382514,26,12409.940637219453
195,177.55287352708808,44,7812.326435191875
196,290.710777372513,37,10756.29876278298
197,466.11835810422195,49,22839.799547106875
198,250.39311709309217,28,7011.007278606581
199,325.380462335818,25,8134.511558395449
200,210.71985515256355,5,1053.5992757628178
