ID_Prodotto,Prezzo,Quantita,Ricavo,Categoria
1,430.65315677168843,13.0,5598.49103803195,Software
2,256.23904638824354,40.0,10249.56185552974,Software
3,375.4890496110184,40.0,15019.561984440736,Elettronica
4,24.889308644510784,29.0,721.7899506908127,Accessori
5,356.7691443153678,36.0,12843.68919535324,Elettronica
6,410.5638611865969,1.0,410.5638611865969,Elettronica
7,132.07394506474702,16.0,2113.1831210359524,Elettronica
8,110.65383288907593,32.0,3540.9226524504297,Software
9,267.2093122227778,47.0,12558.837674470557,Accessori
10,44.3130584683665,49.0,2171.3398649499586,Accessori
11,410.30111934918835,44.0,18053.249251364286,Periferiche
12,443.5185775259494,16.0,7096.297240415191,Software
13,365.8781809698244,9.0,3292.90362872842,Elettronica
14,456.1391500060349,17.0,7754.365550102593,Periferiche
15,48.83284058621537,1.0,48.83284058621537,Software
16,318.7760672963735,44.0,14026.146961040435,Elettronica
17,389.509014903315,24.0,9348.216357679561,Software
18,107.26791057411793,19.0,2038.0903009082408,Elettronica
19,379.23498228560294,23.0,8722.404592568868,Accessori
20,239.28693464066194,5.0,1196.4346732033098,Accessori
21,447.3476993402679,16.0,7157.563189444287,Elettronica
22,179.0041813580549,38.0,6802.158891606086,Periferiche
23,51.222411827012216,18.0,922.0034128862198,Elettronica
24,219.52186596981642,24.0,5268.524783275594,Elettronica
25,370.9354268460691,6.0,2225.6125610764147,Periferiche
26,414.9911677307225,24.0,9959.78802553734,Elettronica
27,471.9248686560866,10.0,4719.248686560866,Software
28,307.0412758861061,3.0,921.1238276583183,Software
29,427.3741228242373,15.0,6410.61184236356,Accessori
30,443.33423653457896,6.0,2660.005419207474,Periferiche
31,133.29715968448463,29.0,3865.617630850054,Accessori
32,313.4159557837433,35.0,10969.558452431016,Periferiche
33,341.5755232414861,50.0,17078.776162074304,Software
34,494.7997443735559,33.0,16328.391564327345,Periferiche
35,125.28677849382655,49.0,6139.0521461975,Software
36,245.59332246813847,7.0,1719.1532572769693,Periferiche
37,143.5362996219508,22.0,3157.7985916829175,Periferiche
38,393.65772027539526,45.0,17714.597412392788,Periferiche
39,460.9714775514408,36.0,16594.973191851866,Elettronica
40,324.31165848147,27.0,8756.41477899969,Accessori
41,158.51555676111957,34.0,5389.528929878065,Elettronica
42,386.4457725872491,5.0,1932.2288629362456,Software
43,76.46386435464225,20.0,1529.2772870928452,Software
44,436.06497509609795,13.0,5668.844676249273,Accessori
45,220.44670116424442,31.0,6833.847736091577,Accessori
46,202.0082111707211,6.0,1212.0492670243266,Periferiche
47,379.8741943636369,26.0,9876.72905345456,Accessori
48,322.6542250116699,50.0,16132.711250583494,Elettronica
49,310.9280093203884,35.0,10882.480326213594,Accessori
